Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,Doubler,Stiffener,-,-,?b,Fu,-,-,r2,-,-,-,-,Taper,-,-,-,-,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,X,x10³ mm³,Y,x10³ mm³,mm,mm,-,-,-,MPa,-,-,mm,-,-,-,-,Angle,-,-,-,-,-,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"24 x 7.5"" TFB 100 (GR230)",149,610,192,25.7,16,18.5,558,34.9,3.43,18900,1080,3550,4160,239,26.8,279,475,37.6,3600,2270,232,247,1,C,4160,C,419,-,-,-,-,0,417,-,-,9.14,-,-,-,-,8,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"24 x 7.5"" TFB 95 (GR230)",141,610,190,25.7,14.5,18.5,558,38.6,3.43,18000,1050,3460,4020,242,26.1,274,461,38.1,3310,2210,232,247,1,C,4020,C,411,-,-,-,-,0,417,-,-,9.14,-,-,-,-,8,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"22 x 7"" TFB 75 (GR230)",112,559,178,21.2,12.7,17.5,516,40.7,3.9,14200,697,2500,2900,221,17.2,193,327,34.7,1860,1230,232,247,1,C,2900,C,290,-,-,-,-,0,417,-,-,8.64,-,-,-,-,8,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"20 x 6.5"" TFB 65 (GR230)",96.7,508,165,20.8,11.4,16.5,466,40.8,3.69,12300,510,2010,2320,203,13.6,165,276,33.2,1520,801,232,247,1,C,2320,C,247,-,-,-,-,0,417,-,-,8.13,-,-,-,-,8,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"18 x 6"" TFB 55 (GR230)",81.8,457,152,19.2,10.7,15.5,419,39.3,3.69,10400,350,1530,1770,183,9.88,130,217,30.8,1110,470,232,247,1,C,1770,C,194,-,-,-,-,0,417,-,-,7.62,-,-,-,-,8,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16 x 6"" TFB 50 (GR230)",74.4,406,152,18.4,10.2,15.5,370,36.4,3.86,9480,257,1270,1450,165,9.39,123,205,31.5,965,351,247,247,1,C,1450,C,185,-,-,-,-,0,417,-,-,7.62,-,-,-,-,8,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15 x 6"" TFB 45 (GR230)",67,381,152,16.6,9.65,15.5,348,36,4.29,8530,205,1070,1230,155,8.31,109,183,31.2,745,274,247,247,1,C,1230,C,164,-,-,-,-,0,417,-,-,7.62,-,-,-,-,8,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14 x 5.5"" TFB 40 (GR230)",59.5,356,140,15.9,9.4,14.5,324,34.4,4.09,7580,157,882,1010,144,6.19,88.5,148,28.6,602,177,247,247,1,C,1010,C,133,-,-,-,-,0,417,-,-,7.11,-,-,-,-,8,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"13 x 5"" TFB 35 (GR230)",52.1,330,127,15.3,8.89,13.5,300,33.7,3.85,6640,118,714,823,133,4.52,71.2,119,26.1,480,111,247,247,1,C,823,C,107,-,-,-,-,0,417,-,-,6.6,-,-,-,-,8,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
