Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy5,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",ZeyB,-,-,-,Tan Alpha,?b,Fu,-,-,r2,ZeyD,In,Ip,ZexC,Zy3,x5,y5,nL,pB,pT,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,X,x10³ mm³,Y,x10³ mm³,-,-,-,-,-,MPa,-,-,mm,x10³ mm³,x10? mm?,x10? mm?,x10³ mm³,x10³ mm³,mm,mm,mm,mm,mm,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200x200x26 EA (GR300),76.8,200,200,26.0,26.0,18,174.0,6.69,6.69,9780,56.8,402,643,76.2,14.9,178,329,39.0,2250,-,280,280,1.000,C,602,C,267,-,-,-,1.000,0.5,440,-,-,5,267,35.8,35.8,602,202,83.8,0.0,59.3,59.3,141,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200x200x20 EA (GR300),60.1,200,200,20.0,20.0,18,180.0,9.00,9.00,7660,45.7,323,511,77.2,11.8,147,260,39.3,1060,-,280,280,1.000,N,479,N,218,-,-,-,1.000,0.5,440,-,-,5,220,28.8,28.8,479,162,80.6,0.0,57.0,57.0,143,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200x200x18 EA (GR300),54.4,200,200,18.0,18.0,18,182.0,10.11,10.1,6930,41.7,295,464,77.6,10.8,136,236,39.4,778,-,280,280,1.000,N,427,N,196,-,-,-,1.000,0.5,440,-,-,5,204,26.3,26.3,427,149,79.5,0.0,56.2,56.2,144,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200x200x16 EA (GR300),48.7,200,200,16.0,16.0,18,184.0,11.50,11.5,6200,37.6,266,417,77.9,9.72,124,212,39.6,554,-,300,300,1.000,N,369,N,172,-,-,-,1.000,0.5,440,-,-,5,186,23.7,23.7,369,135,78.4,0.0,55.4,55.4,145,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200x200x13 EA (GR300),40.0,200,200,13.0,13.0,18,187.0,14.38,14.4,5090,31.2,221,344,78.3,8.08,105,176,39.8,304,-,300,300,1.000,N,285,N,136,-,-,-,1.000,0.5,440,-,-,5,158,19.7,19.7,285,112,76.6,0.0,54.2,54.2,146,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150x150x19 EA (GR300),42.1,150,150,19.0,19.0,13,131.0,6.89,6.89,5360,17.6,166,265,57.2,4.60,73.5,135,29.3,657,-,280,280,1.000,C,248,C,110,-,-,-,1.000,0.5,440,-,-,5,110,11.1,11.1,248,83.8,62.6,0.0,44.2,44.2,106,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150x150x16 EA (GR300),35.4,150,150,15.8,15.8,13,134.2,8.49,8.49,4520,15.1,142,225,57.8,3.91,64.2,115,29.4,386,-,300,300,1.000,N,212,N,95.7,-,-,-,1.000,0.5,440,-,-,5,96.3,9.48,9.48,212,71.9,60.8,0.0,43.0,43.0,107,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150x150x12 EA (GR300),27.3,150,150,12.0,12.0,13,138.0,11.50,11.5,3480,11.9,112,175,58.4,3.06,52.1,89.3,29.6,174,-,300,300,1.000,N,155,N,72.3,-,-,-,1.000,0.5,440,-,-,5,78.1,7.46,7.46,155,56.9,58.7,0.0,41.5,41.5,108,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150x150x10 EA (GR300),21.9,150,150,9.5,9.5,13,140.5,14.79,14.8,2790,9.61,90.6,141,58.7,2.48,43.3,72.0,29.8,88.9,-,320,320,0.958,N,114,N,54.5,-,-,-,1.000,1.0,440,-,-,5,64.9,6.04,6.04,114,46.4,57.3,0.0,40.5,40.5,109,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125x125x16 EA (GR300),29.1,125,125,15.8,15.8,10,109.2,6.91,6.91,3710,8.43,95.4,153,47.7,2.20,42.3,77.8,24.4,313,-,300,300,1.000,C,143,C,63.4,-,-,-,1.000,0.5,440,-,-,5,63.4,5.32,5.32,143,48.5,52.1,0.0,36.8,36.8,88.2,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125x125x12 EA (GR300),22.5,125,125,12.0,12.0,10,113.0,9.42,9.42,2870,6.69,75.7,120,48.3,1.73,34.5,60.8,24.5,141,-,300,300,1.000,N,110,N,50.3,-,-,-,1.000,0.5,440,-,-,5,51.7,4.21,4.21,110,38.6,50.1,0.0,35.4,35.4,89.6,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125x125x10 EA (GR300),18.0,125,125,9.5,9.5,10,115.5,12.16,12.2,2300,5.44,61.6,96.5,48.7,1.40,28.8,49.0,24.7,71.9,-,320,320,1.000,N,83.2,N,38.9,-,-,-,1.000,0.5,440,-,-,5,43.1,3.42,3.42,83.2,31.5,48.7,0.0,34.4,34.4,90.6,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125x125x8 EA (GR300),14.9,125,125,7.8,7.8,10,117.2,15.03,15.0,1900,4.55,51.5,80.2,48.9,1.17,24.5,40.8,24.8,40.6,-,320,320,0.943,N,64.3,N,30.7,-,-,-,1.000,1.0,440,-,-,5,36.8,2.86,2.86,64.3,26.5,47.7,0.0,33.7,33.7,91.3,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100x100x12 EA (GR300),17.7,100,100,12.0,12.0,8,88.0,7.33,7.33,2260,3.29,46.6,74.5,38.2,0.857,20.8,37.9,19.5,110,-,300,300,1.000,C,69.9,C,31.1,-,-,-,1.000,0.5,440,-,-,5,31.1,2.08,2.08,69.9,23.9,41.3,0.0,29.2,29.2,70.8,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100x100x10 EA (GR300),14.2,100,100,9.5,9.5,8,90.5,9.53,9.53,1810,2.70,38.2,60.4,38.6,0.695,17.4,30.7,19.6,56.2,-,320,320,1.000,N,55.1,N,25.2,-,-,-,1.000,0.5,440,-,-,5,26.1,1.7,1.7,55.1,19.6,39.9,0.0,28.2,28.2,71.8,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100x100x8 EA (GR300),11.8,100,100,7.8,7.8,8,92.2,11.82,11.8,1500,2.27,32.0,50.3,38.8,0.582,14.9,25.6,19.7,31.7,-,320,320,1.000,N,43.7,N,20.4,-,-,-,1.000,0.5,440,-,-,5,22.4,1.42,1.42,43.7,16.5,38.9,0.0,27.5,27.5,72.5,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100x100x6 EA (GR300),9.16,100,100,6.0,6.0,8,94.0,15.67,15.7,1170,1.78,25.2,39.3,39.1,0.458,12.1,20.0,19.8,14.8,-,320,320,0.906,N,30.9,N,14.8,-,-,-,1.000,1.0,440,-,-,5,18.1,1.12,1.12,30.9,13.1,37.9,0.0,26.8,26.8,73.2,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90x90x10 EA (GR300),12.7,90,90,9.5,9.5,8,80.5,8.47,8.47,1620,1.93,30.4,48.3,34.5,0.500,13.8,24.6,17.6,50.5,-,320,320,1.000,N,45.0,N,20.4,-,-,-,1.000,0.5,440,-,-,5,20.6,1.22,1.22,45.0,15.7,36.4,0.0,25.7,25.7,64.3,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90x90x8 EA (GR300),10.6,90,90,7.8,7.8,8,82.2,10.54,10.5,1350,1.63,25.6,40.4,34.8,0.419,11.8,20.5,17.6,28.6,-,320,320,1.000,N,36.0,N,16.7,-,-,-,1.000,0.5,440,-,-,5,17.8,1.02,1.02,36.0,13.2,35.4,0.0,25.0,25.0,65.0,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90x90x6 EA (GR300),8.22,90,90,6.0,6.0,8,84.0,14.00,14.0,1050,1.28,20.1,31.6,35.0,0.330,9.62,16.1,17.8,13.4,-,320,320,1.000,N,25.9,N,12.4,-,-,-,1.000,0.5,440,-,-,5,14.4,0.805,0.805,25.9,10.5,34.3,0.0,24.3,24.3,65.7,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75x75x10 EA (GR300),10.5,75,75,9.5,9.5,8,65.5,6.89,6.89,1340,1.08,20.4,32.8,28.4,0.282,9.09,16.8,14.5,41.9,-,320,320,1.000,C,30.5,C,13.6,-,-,-,1.000,0.5,440,-,-,5,13.6,0.681,0.681,30.5,10.6,31.1,0.0,22.0,22.0,53.0,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75x75x8 EA (GR300),8.73,75,75,7.8,7.8,8,67.2,8.62,8.62,1110,0.913,17.2,27.5,28.7,0.237,7.87,14.0,14.6,23.8,-,320,320,1.000,N,25.4,N,11.6,-,-,-,1.000,0.5,440,-,-,5,11.8,0.575,0.575,25.4,8.99,30.1,0.0,21.3,21.3,53.7,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75x75x6 EA (GR300),6.81,75,75,6.0,6.0,8,69.0,11.50,11.5,867,0.722,13.6,21.6,28.9,0.187,6.44,11.0,14.7,11.2,-,320,320,1.000,N,18.7,N,8.85,-,-,-,1.000,0.5,440,-,-,5,9.66,0.455,0.455,18.7,7.15,29.0,0.0,20.5,20.5,54.5,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75x75x5 EA (GR300),5.27,75,75,4.6,4.6,8,70.4,15.30,15.3,672,0.563,10.6,16.7,29.0,0.147,5.22,8.61,14.8,5.28,-,320,320,0.927,N,13.2,N,6.47,-,-,-,1.000,1.0,440,-,-,5,7.82,0.355,0.355,13.2,5.62,28.1,0.0,19.9,19.9,55.1,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65x65x10 EA (GR300),9.02,65,65,9.5,9.5,6,55.5,5.84,5.84,1150,0.691,15.0,24.3,24.5,0.183,6.60,12.5,12.6,35.1,-,320,320,1.000,C,22.5,C,9.90,-,-,-,1.000,0.5,440,-,-,3,9.90,0.437,0.437,22.5,7.71,27.7,0.0,19.6,19.6,45.4,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65x65x8 EA (GR300),7.51,65,65,7.8,7.8,6,57.2,7.33,7.33,957,0.589,12.8,20.5,24.8,0.154,5.73,10.5,12.7,20.0,-,320,320,1.000,C,19.2,C,8.59,-,-,-,1.000,0.5,440,-,-,3,8.59,0.371,0.371,19.2,6.56,26.8,0.0,19.0,19.0,46.0,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65x65x6 EA (GR300),5.87,65,65,6.0,6.0,6,59.0,9.83,9.83,748,0.471,10.2,16.2,25.1,0.122,4.71,8.25,12.8,9.37,-,320,320,1.000,N,14.7,N,6.76,-,-,-,1.000,0.5,440,-,-,3,7.07,0.296,0.296,14.7,5.26,25.8,0.0,18.3,18.3,46.7,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65x65x5 EA (GR300),4.56,65,65,4.6,4.6,6,60.4,13.13,13.1,581,0.371,8.08,12.7,25.3,0.0959,3.83,6.46,12.9,4.36,-,320,320,1.000,N,10.6,N,5.05,-,-,-,1.000,0.5,440,-,-,3,5.75,0.234,0.234,10.6,4.18,25.0,0.0,17.7,17.7,47.3,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55x55x6 EA (GR300),4.93,55,55,6.0,6.0,6,49.0,8.17,8.17,628,0.278,7.14,11.4,21.0,0.0723,3.24,5.82,10.7,7.93,-,320,320,1.000,N,10.7,N,4.84,-,-,-,1.000,0.5,440,-,-,3,4.86,0.175,0.175,10.7,3.69,22.3,0.0,15.8,15.8,39.2,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55x55x5 EA (GR300),3.84,55,55,4.6,4.6,6,50.4,10.96,11.0,489,0.220,5.66,8.93,21.2,0.0571,2.66,4.57,10.8,3.71,-,320,320,1.000,N,7.88,N,3.70,-,-,-,1.000,0.5,440,-,-,3,3.98,0.139,0.139,7.88,2.94,21.5,0.0,15.2,15.2,39.8,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50x50x8 EA (GR300),5.68,50,50,7.8,7.8,6,42.2,5.41,5.41,723,0.253,7.16,11.7,18.7,0.0675,3.14,6.00,9.66,15.2,-,320,320,1.000,C,10.7,C,4.71,-,-,-,1.000,0.5,440,-,-,3,4.71,0.160,0.160,10.7,3.73,21.5,0.0,15.2,15.2,34.8,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50x50x6 EA (GR300),4.46,50,50,6.0,6.0,6,44.0,7.33,7.33,568,0.205,5.79,9.30,19.0,0.0536,2.61,4.76,9.71,7.21,-,320,320,1.000,C,8.69,C,3.92,-,-,-,1.000,0.5,440,-,-,3,3.92,0.129,0.129,8.69,3.01,20.5,0.0,14.5,14.5,35.5,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50x50x5 EA (GR300),3.48,50,50,4.6,4.6,6,45.4,9.87,9.87,443,0.163,4.61,7.32,19.2,0.0424,2.15,3.75,9.78,3.38,-,320,320,1.000,N,6.60,N,3.08,-,-,-,1.000,0.5,440,-,-,3,3.22,0.103,0.103,6.60,2.4,19.7,0.0,13.9,13.9,36.1,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50x50x3 EA (GR300),2.31,50,50,3.0,3.0,6,47.0,15.67,15.7,295,0.110,3.11,4.90,19.3,0.0289,1.55,2.53,9.90,1.01,-,320,320,0.907,N,3.82,N,1.90,-,-,-,1.000,1.0,440,-,-,3,2.32,0.0694,0.0694,3.82,1.65,18.7,0.0,13.2,13.2,36.8,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45x45x6 EA (GR300),3.97,45,45,6.0,6.0,5,39.0,6.50,6.50,506,0.146,4.59,7.41,17.0,0.0383,2.04,3.79,8.71,6.32,-,320,320,1.000,C,6.88,C,3.06,-,-,-,1.000,0.5,440,-,-,3,3.06,0.0922,0.0922,6.88,2.39,18.8,0.0,13.3,13.3,31.7,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45x45x5 EA (GR300),3.10,45,45,4.6,4.6,5,40.4,8.78,8.78,394,0.117,3.66,5.84,17.2,0.0303,1.68,2.99,8.76,2.96,-,320,320,1.000,N,5.39,N,2.47,-,-,-,1.000,0.5,440,-,-,3,2.52,0.0734,0.0734,5.39,1.91,18.0,0.0,12.7,12.7,32.3,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45x45x3 EA (GR300),2.06,45,45,3.0,3.0,5,42.0,14.00,14.0,263,0.079,2.48,3.92,17.3,0.0206,1.21,2.02,8.85,0.875,-,320,320,1.000,N,3.19,N,1.55,-,-,-,1.000,0.5,440,-,-,3,1.81,0.0498,0.0498,3.19,1.31,17.0,0.0,12.0,12.0,33.0,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40x40x6 EA (GR300),3.50,40,40,6.0,6.0,5,34.0,5.67,5.67,446,0.0997,3.53,5.75,15.0,0.0265,1.55,2.95,7.71,5.60,-,320,320,1.000,C,5.29,C,2.33,-,-,-,1.000,0.5,440,-,-,3,2.33,0.0631,0.0631,5.29,1.86,17.0,0.0,12.0,12.0,28.0,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40x40x5 EA (GR300),2.73,40,40,4.6,4.6,5,35.4,7.70,7.70,348,0.0801,2.83,4.55,15.2,0.0209,1.29,2.33,7.75,2.63,-,320,320,1.000,C,4.25,C,1.93,-,-,-,1.000,0.5,440,-,-,3,1.93,0.0505,0.0505,4.25,1.49,16.2,0.0,11.5,11.5,28.5,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
