Description,Weight,d,bf,tf,tw,r1,d1,tw,tf,Ag,Ix,Zx,Sx,rx,Iy,Zy5,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,-,-,-,Tan Alpha,?b,Fu,-,-,r2,ZeyD,In,Ip,ZexC,-,x5,y5,nL,pB,pT,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,-,x10³ mm³,-,x10³ mm³,-,-,-,-,-,MPa,-,-,mm,x10³ mm³,x10? mm?,x10? mm?,x10³ mm³,-,mm,mm,mm,mm,mm,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150(v)x100x12 UA (GR350),22.5,150,100,12.0,12.0,10,138.0,11.50,7.33,2870,7.51,73.5,127,51.2,1.35,32.1,51.7,21.7,141,-,340,340,1.000,N,100,N,34.7,-,-,-,0.438,0.5,480,-,-,5,38.2,6.52,2.34,110,-,42.0,35.2,24.3,49.1,101,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150(v)x100x10 UA (GR350),18.0,150,100,9.5,9.5,10,140.5,14.79,9.53,2300,6.11,59.5,102,51.6,1.09,26.9,41.8,21.8,71.9,-,360,360,0.943,N,73.0,N,25.3,-,-,-,0.441,1,480,-,-,5,30.9,5.29,1.91,78.9,-,40.7,34.6,23.3,48.1,102,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150(v)x90x16 UA (GR350),27.9,150,90,15.8,15.8,10,134.2,8.49,4.7,3550,8.80,88.4,154,49.8,1.32,34.0,55.9,19.3,300,-,340,340,1.000,N,130,N,39.0,-,-,-,0.353,0.5,480,-,-,5,39.8,7.97,2.15,133,-,38.9,41.9,22.7,52.5,97.5,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150(v)x90x12 UA (GR350),21.6,150,90,12.0,12.0,10,138.0,11.50,6.5,2750,6.97,69.4,120,50.4,1.04,28.0,43.8,19.5,136,-,340,340,1.000,N,94.6,N,28.3,-,-,-,0.360,0.5,480,-,-,5,31.1,6.29,1.72,104,-,37.2,40.8,21.2,51.0,99,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150(v)x90x10 UA (GR350),17.3,150,90,9.5,9.5,10,140.5,14.79,8.47,2200,5.66,56.1,96.6,50.7,0.847,23.5,35.4,19.6,69.0,-,360,360,0.940,N,68.8,N,20.6,-,-,-,0.363,1,480,-,-,5,25.2,5.10,1.41,79.5,-,36.1,40.1,20.2,50.0,100,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150(v)x90x8 UA (GR350),14.3,150,90,7.8,7.8,10,142.2,18.23,10.5,1820,4.73,46.7,80.1,51.0,0.710,20.2,29.5,19.7,39.0,-,360,360,0.836,N,51.2,N,15.4,-,-,-,0.364,1,480,-,-,5,21.0,4.26,1.18,57.9,-,35.2,39.5,19.6,49.2,101,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125(v)x75x12 UA (GR350),17.7,125,75,12.0,12.0,8,113.0,9.42,5.25,2260,3.91,47.0,81.4,41.6,0.585,18.4,29.7,16.1,110,-,340,340,1.000,N,67.6,N,20.3,-,-,-,0.356,0.5,480,-,-,5,21.2,3.54,0.958,70.5,-,31.9,34.6,18.4,43.3,81.7,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125(v)x75x10 UA (GR350),14.2,125,75,9.5,9.5,8,115.5,12.16,6.89,1810,3.20,38.2,65.8,42.0,0.476,15.5,24.1,16.2,56.2,-,360,360,1.000,N,50.6,N,15.2,-,-,-,0.360,0.5,480,-,-,5,17.2,2.88,0.789,57.2,-,30.7,33.9,17.5,42.3,82.7,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125(v)x75x8 UA (GR350),11.8,125,75,7.8,7.8,8,117.2,15.03,8.6,1500,2.68,31.8,54.6,42.2,0.399,13.3,20.1,16.3,31.7,-,360,360,0.931,N,38.8,N,11.6,-,-,-,0.363,1,480,-,-,5,14.3,2.41,0.664,44.7,-,29.9,33.3,16.8,41.5,83.5,HR,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
