Description,Weight,d,bf,tf,tw,r1,d1,tw,tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,-,-,-,-,?b,Fu,xL,Xo,r2,ZeyD,In,Ip,ZexC,-,-,-,nL,pB,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,-,x10³ mm³,-,x10³ mm³,mm,mm,-,-,-,MPa,-,-,-,-,-,-,-,-,-,-,-,-,-,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
508.0 x 16.0 CHS (C350),194.0,508.0,508.0,16.0,16.0,-,476,-,-,24700,749,2950,3870,174,749,2950,3870,174,1500000,0,350,350,1.000,C,3870,C,3870,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
508.0 x 12.7 CHS (C350),155.0,508.0,508.0,12.7,12.7,-,483,-,-,19800,606,2390,3120,175,606,2390,3120,175,1210000,0,350,350,1.000,N,3050,N,3050,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
508.0 x 12.5 CHS (C350),153.0,508.0,508.0,12.5,12.5,-,483,-,-,19500,598,2350,3070,175,598,2350,3070,175,1200000,0,350,350,1.000,N,3000,N,3000,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
508.0 x 10.0 CHS (C350),123,508.0,508.0,10.0,10.0,-,488,-,-,15600,485,1910,2480,176,485,1910,2480,176,970000,0,350,350,1.000,N,2310,N,2310,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
508.0 x 9.5 CHS (C350),117,508.0,508.0,9.5,9.5,-,489,-,-,14900,462,1820,2360,176,462,1820,2360,176,925000,0,350,350,1.000,N,2170,N,2170,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
508.0 x 6.4 CHS (C350),79.2,508.0,508.0,6.4,6.4,-,495,-,-,10100,317,1250,1610,177,317,1250,1610,177,634000,0,350,350,0.857,N,1290,N,1290,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
457.0 x 16.0 CHS (C350),174,457.0,457.0,16.0,16.0,-,425,-,-,22200,540,2360,3110,156,540,2360,3110,156,1080000,0,350,350,1.000,C,3110,C,3110,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
457.0 x 12.7 CHS (C350),139,457.0,457.0,12.7,12.7,-,432,-,-,17700,438,1920,2510,157,438,1920,2510,157,876000,0,350,350,1.000,N,2500,N,2500,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
457.0 x 12.5 CHS (C350),137,457.0,457.0,12.5,12.5,-,432,-,-,17500,431,1890,2470,157,431,1890,2470,157,863000,0,350,350,1.000,N,2460,N,2460,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
457.0 x 10.0 CHS (C350),110,457.0,457.0,10.0,10.0,-,437,-,-,14000,351,1540,2000,158,351,1540,2000,158,702000,0,350,350,1.000,N,1910,N,1910,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
457.0 x 9.5 CHS (C350),105,457.0,457.0,9.5,9.5,-,438,-,-,13400,334,1460,1900,158,334,1460,1900,158,669000,0,350,350,1.000,N,1790,N,1790,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
457.0 x 6.4 CHS (C350),71.1,457.0,457.0,6.4,6.4,-,444,-,-,9060,230,1010,1300,159,230,1010,1300,159,460000,0,350,350,0.904,N,1090,N,1090,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
406.4 x 16.0 CHS (C350),154,406.4,406.4,16.0,16.0,-,374,-,-,19600,374,1840,2440,138,374,1840,2440,138,749000,0,350,350,1.000,C,2440,C,2440,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
406.4 x 12.7 CHS (C350),123,406.4,406.4,12.7,12.7,-,381,-,-,15700,305,1500,1970,139,305,1500,1970,139,609000,0,350,350,1.000,C,1970,C,1970,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
406.4 x 12.5 CHS (C350),121,406.4,406.4,12.5,12.5,-,381,-,-,15500,300,1480,1940,139,300,1480,1940,139,601000,0,350,350,1.000,C,1940,C,1940,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
406.4 x 10.0 CHS (C350),97.8,406.4,406.4,10.0,10.0,-,386,-,-,12500,245,1200,1570,140,245,1200,1570,140,490000,0,350,350,1.000,N,1540,N,1540,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
406.4 x 9.5 CHS (C350),93.0,406.4,406.4,9.5,9.5,-,387,-,-,11800,233,1150,1500,140,233,1150,1500,140,467000,0,350,350,1.000,N,1450,N,1450,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
406.4 x 8.0 CHS (C350),78.6,406.4,406.4,8.0,8.0,-,390,-,-,10000,199,978,1270,141,199,978,1270,141,397000,0,350,350,1.000,N,1180,N,1180,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
406.4 x 6.4 CHS (C350),63.1,406.4,406.4,6.4,6.4,-,394,-,-,8040,161,792,1020,141,161,792,1020,141,322000,0,350,350,0.960,N,895,N,895,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
355.6 x 16.0 CHS (C350),134,355.6,355.6,16.0,16.0,-,324,-,-,17100,247,1390,1850,120,247,1390,1850,120,493000,0,350,350,1.000,C,1850,C,1850,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
355.6 x 12.7 CHS (C350),107,355.6,355.6,12.7,12.7,-,330,-,-,13700,201,1130,1490,121,201,1130,1490,121,403000,0,350,350,1.000,C,1490,C,1490,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
355.6 x 12.5 CHS (C350),106,355.6,355.6,12.5,12.5,-,331,-,-,13500,199,1120,1470,121,199,1120,1470,121,397000,0,350,350,1.000,C,1470,C,1470,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
355.6 x 10.0 CHS (C350),85.2,355.6,355.6,10.0,10.0,-,336,-,-,10900,162,912,1190,122,162,912,1190,122,324000,0,350,350,1.000,C,1190,C,1190,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
355.6 x 9.5 CHS (C350),81.1,355.6,355.6,9.5,9.5,-,337,-,-,10300,155,871,1140,122,155,871,1140,122,310000,0,350,350,1.000,N,1130,N,1130,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
355.6 x 8.0 CHS (C350),68.6,355.6,355.6,8.0,8.0,-,340,-,-,8740,132,742,967,123,132,742,967,123,264000,0,350,350,1.000,N,928,N,928,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
355.6 x 6.4 CHS (C350),55.1,355.6,355.6,6.4,6.4,-,343,-,-,7020,107,602,781,123,107,602,781,123,214000,0,350,350,1.000,N,710,N,710,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
323.9 x 12.7 CHS (C350),97.5,323.9,323.9,12.7,12.7,-,299,-,-,12400,151,930,1230,110,151,930,1230,110,301000,0,350,350,1.000,C,1230,C,1230,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
323.9 x 12.5 CHS (C350),96.0,323.9,323.9,12.5,12.5,-,299,-,-,12200,148,917,1210,110,148,917,1210,110,297000,0,350,350,1.000,C,1210,C,1210,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
323.9 x 10.0 CHS (C350),77.4,323.9,323.9,10.0,10.0,-,304,-,-,9860,122,751,986,111,122,751,986,111,243000,0,350,350,1.000,C,986,C,986,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
323.9 x 9.5 CHS (C350),73.7,323.9,323.9,9.5,9.5,-,305,-,-,9380,116,717,939,111,116,717,939,111,232000,0,350,350,1.000,C,939,C,939,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
323.9 x 8.0 CHS (C350),62.3,323.9,323.9,8.0,8.0,-,308,-,-,7940,99.1,612,799,112,99.1,612,799,112,198000,0,350,350,1.000,N,781,N,781,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
323.9 x 6.4 CHS (C350),50.1,323.9,323.9,6.4,6.4,-,311,-,-,6380,80.5,497,645,112,80.5,497,645,112,161000,0,350,350,1.000,N,601,N,601,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
323.9 x 6.0 CHS (C350),47.0,323.9,323.9,6.0,6.0,-,312,-,-,5990,75.7,468,606,112,75.7,468,606,112,151000,0,350,350,1.000,N,556,N,556,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
273.1 x 12.7 CHS (C350),81.6,273.1,273.1,12.7,12.7,-,248,-,-,10400,88.3,646,862,92.2,88.3,646,862,92.2,177000,0,350,350,1.000,C,862,C,862,-,-,-,-,-0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
