Description,Weight,d,bf,tf,tw,r1,d1,tw,tf,Ag,Ix,Zx,Sx,rx,Iy,ZyR,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",ZeyL,ZyL,"C,N,S",ZeyR,-,?b,Fu,xL,Xo,-,-,-,-,-,Taper,-,-,-,-,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,X,x10³ mm³,YL,x10³ mm³,x10³ mm³,YR,x10³ mm³,-,-,MPa,mm,mm,-,-,-,-,-,Angle,-,-,-,-,-,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
380x100PFC (GR250),55.2,380,100,17.5,10.0,14.0,345,34.5,5.14,7030,152,798,946,147,6.48,89.4,161,30.4,472,151,250,260,1.000,C,946,C,119,236,N,134,-,0.5,410,27.5,56.7,-,-,-,-,-,-,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300x90PFC (GR250),40.1,300,90,16.0,8.0,14.0,268,33.5,5.13,5110,72.4,483,564,119,4.04,64.4,117,28.1,290,58.2,250,260,1.000,C,564,C,87.7,148,N,96.6,-,0.5,410,27.2,56.1,-,-,-,-,-,-,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250x90PFC (GR250),35.5,250,90,15.0,8.0,12.0,220,27.5,5.47,4520,45.1,361,421,99.9,3.64,59.3,107,28.4,238,35.9,250,260,1.000,C,421,C,89.0,127,C,89.0,-,0.5,410,28.6,58.5,-,-,-,-,-,-,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
230x75PFC (GR250),25.1,230,75,12.0,6.5,12.0,206,31.7,5.71,3200,26.8,233,271,91.4,1.76,33.6,61.0,23.5,108,15.0,260,260,1.000,C,271,C,47.8,77.8,N,50.4,-,0.5,410,22.6,46.7,-,-,-,-,-,-,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200x75PFC (GR250),22.9,200,75,12.0,6.0,12.0,176,29.3,5.75,2920,19.1,191,221,80.9,1.65,32.7,58.9,23.8,101,10.6,260,260,1.000,C,221,C,49.1,67.8,C,49.1,-,0.5,410,24.4,50.5,-,-,-,-,-,-,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
180x75PFC (GR250),20.9,180,75,11.0,6.0,12.0,158,26.3,6.27,2660,14.1,157,182,72.9,1.51,29.9,53.8,23.8,81.4,7.82,260,260,1.000,C,182,C,44.8,61.5,C,44.8,-,0.5,410,24.5,50.3,-,-,-,-,-,-,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150x75PFC (GR250),17.7,150,75,9.5,6.0,10.0,131,21.8,7.26,2250,8.34,111,129,60.8,1.29,25.7,46.0,23.9,54.9,4.59,260,260,1.000,C,129,C,38.5,51.6,C,38.5,-,0.5,410,24.9,51.0,-,-,-,-,-,-,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
