Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,-,-,-,-,?b,Fu,xL,Xo,r2,ZeyD,In,Ip,ZexC,-,-,-,nL,pB,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,-,x10³ mm³,-,x10³ mm³,mm,mm,-,-,-,MPa,-,-,-,-,-,-,-,-,-,-,-,-,-,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
400 x 300 x 16.0 RHS (C450),161,400,300,16.0,16.0,-,368,-,-,20500,453,2260,2750,149,290,1940,2260,119,586000,0,450,450,1.000,C,2750,N,2230,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
400 x 300 x 12.5 RHS (C450),128,400,300,12.5,12.5,-,375,-,-,16300,370,1850,2230,151,238,1590,1830,121,471000,0,450,450,0.996,C,2230,S,1580,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
400 x 300 x 10.0 RHS (C450),104,400,300,10.0,10.0,-,380,-,-,13300,306,1530,1820,152,197,1320,1500,122,384000,0,450,450,0.877,N,1600,S,1120,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
400 x 300 x 8.0 RHS (C450),84.2,400,300,8.0,8.0,-,384,-,-,10700,251,1260,1490,153,162,1080,1220,123,312000,0,450,450,0.715,S,1140,S,800,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
400 x 200 x 16.0 RHS (C450),136,400,200,16.0,16.0,-,368,-,-,17300,335,1670,2140,139,113,1130,1320,80.8,290000,0,450,450,1.000,C,2140,N,1300,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
400 x 200 x 12.5 RHS (C450),109,400,200,12.5,12.5,-,375,-,-,13800,277,1380,1740,141,94.0,940,1080,82.4,236000,0,450,450,0.996,C,1740,S,936,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
400 x 200 x 10.0 RHS (C450),88.4,400,200,10.0,10.0,-,380,-,-,11300,230,1150,1430,143,78.6,786,888,83.6,194000,0,450,450,0.855,C,1430,S,658,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
400 x 200 x 8.0 RHS (C450),71.6,400,200,8.0,8.0,-,384,-,-,9120,190,949,1170,144,65.2,652,728,84.5,158000,0,450,450,0.745,N,1150,S,464,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
350 x 250 x 16.0 RHS (C450),136,350,250,16.0,16.0,-,318,-,-,17300,283,1620,1990,128,168,1340,1580,98.5,355000,0,450,450,1.000,C,1990,C,1580,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
350 x 250 x 12.5 RHS (C450),109,350,250,12.5,12.5,-,325,-,-,13800,233,1330,1620,130,139,1110,1290,100,287000,0,450,450,1.000,C,1620,N,1200,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
350 x 250 x 10.0 RHS (C450),88.4,350,250,10.0,10.0,-,330,-,-,11300,194,1110,1330,131,116,927,1060,101,235000,0,450,450,0.943,N,1320,S,865,-,-,-,-,-0.5,500,-,-,-,-,-,-,-,-,-,-,-,-,-,CF,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
