Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,Doubler,Stiffener,-,-,?b,Fu,-,-,-,-,-,-,-,Taper,-,-,-,-,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,X,x10³ mm³,Y,x10³ mm³,mm,mm,-,-,-,MPa,-,-,-,-,-,-,-,Angle,-,-,-,-,-,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"30 x 10.5"" UB 196 (GR230)",292,793,275,37.1,22.9,16.5,719,31.4,3.4,37100,3660,9220,10800,314,130,943,1500,59.1,12600,18500,232,232,1,C,10800,C,1410,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"30 x 10.5"" UB 180 (GR230)",268,787,273,34.3,21.1,16.5,719,34.1,3.68,34100,3340,8490,9860,313,117,859,1360,58.7,9880,16700,232,232,1,C,9860,C,1290,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"30 x 10.5"" UB 164 (GR230)",244,781,272,31.3,19.3,16.5,719,37.3,4.03,31100,3020,7720,8940,312,105,773,1220,58.1,7530,14800,232,232,1,C,8940,C,1160,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"30 x 10.5"" UB 148 (GR230)",220,775,270,28.3,17.4,16.5,719,41.3,4.46,28000,2700,6970,8040,310,93.1,690,1090,57.6,5590,13000,232,247,1,C,8040,C,1040,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"30 x 10.5"" UB 132 (GR230)",196,770,268,25.4,15.6,16.5,719,46,4.97,25100,2400,6230,7170,309,81.8,610,959,57.1,4050,11300,232,247,1,C,7170,C,915,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"30 x 10.5"" UB 116 (GR230)",173,762,267,21.6,14.3,16.5,719,50.2,5.84,22000,2050,5390,6200,305,68.5,514,807,55.7,2670,9390,232,247,0.968,C,6200,C,771,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"30 x 10.5"" UB 99 (GR230)",147,754,265,17.5,12.9,16.5,719,55.7,7.2,18800,1690,4480,5170,300,54.7,413,649,53.9,1610,7420,247,247,0.908,C,5170,C,619,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"27 x 10"" UB 114 (GR230)",170,693,256,23.7,14.5,15.2,646,44.6,5.1,21700,1700,4910,5620,280,66.2,518,810,55.3,3070,7420,232,247,1,C,5620,C,777,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"27 x 10"" UB 102 (GR230)",152,688,254,21,13.2,15.2,646,49.1,5.74,19400,1500,4370,5000,278,57.9,455,710,54.6,2190,6430,232,247,0.979,C,5000,C,682,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"27 x 10"" UB 94 (GR230)",140,684,254,19,12.4,15.2,646,51.9,6.36,17900,1360,3990,4560,276,51.8,408,638,53.9,1690,5720,247,247,0.943,C,4560,C,613,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"27 x 10"" UB 84 (GR230)",125,678,253,16.2,11.7,15.2,646,55,7.46,16000,1180,3480,4000,272,43.8,346,542,52.4,1160,4800,247,247,0.916,C,4000,C,520,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"24 x 9"" UB 94 (GR230)",140,617,230,22.1,13.1,12.7,573,43.7,4.9,17800,1120,3630,4150,250,45.1,392,612,50.3,2170,3990,232,247,1,C,4150,C,588,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"24 x 9"" UB 84 (GR230)",125,612,229,19.6,11.9,12.7,573,48,5.53,16000,986,3220,3680,249,39.3,344,536,49.7,1550,3450,232,247,0.989,C,3680,C,515,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"24 x 9"" UB 76 (GR230)",113,607,228,17.3,11.2,12.7,573,51.2,6.26,14400,874,2880,3290,246,34.4,302,470,48.8,1120,2990,247,247,0.949,C,3290,C,452,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"24 x 9"" UB 68 (GR230)",101,602,228,14.8,10.6,12.7,573,54.2,7.34,12900,757,2510,2880,242,29.1,256,400,47.5,772,2510,247,247,0.923,C,2880,C,384,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"21 x 8.25"" UB 82 (GR230)",122,545,212,21.3,12.8,12.7,502,39.4,4.67,15600,762,2800,3200,221,33.9,320,501,46.7,1800,2320,232,247,1,C,3200,C,481,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"21 x 8.25"" UB 73 (GR230)",109,539,211,18.8,11.6,12.7,502,43.4,5.3,13900,667,2470,2820,219,29.4,279,435,46,1260,1990,247,247,1,C,2820,C,418,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"21 x 8.25"" UB 68 (GR230)",101,537,210,17.4,10.9,12.7,502,46,5.72,12900,617,2300,2620,218,27,257,400,45.7,1020,1820,247,247,0.994,C,2620,C,385,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"21 x 8.25"" UB 62 (GR230)",92.3,533,209,15.6,10.2,12.7,502,49.4,6.37,11800,554,2080,2370,217,23.9,229,356,45.1,762,1600,247,247,0.964,C,2370,C,343,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"21 x 8.25"" UB 55 (GR230)",81.8,528,209,13.2,9.55,12.7,502,52.6,7.54,10400,475,1800,2060,213,20.1,192,300,43.8,513,1330,247,247,0.937,C,2060,C,288,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"18 x 7.5"" UB 66 (GR230)",98.2,467,193,19.6,11.4,10.2,428,37.5,4.64,12500,457,1960,2230,191,23.4,243,378,43.3,1210,1180,232,247,1,C,2230,C,365,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"18 x 7.5"" UB 60 (GR230)",89.3,464,192,17.7,10.6,10.2,428,40.5,5.14,11400,410,1770,2010,190,20.9,217,338,42.8,905,1040,247,247,1,C,2010,C,326,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"18 x 7.5"" UB 55 (GR230)",81.8,460,191,16,9.91,10.2,428,43.2,5.67,10500,371,1610,1830,188,18.7,196,304,42.3,692,924,247,247,1,C,1830,C,294,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"18 x 7.5"" UB 50 (GR230)",74.4,457,190,14.5,9.09,10.2,428,47.1,6.26,9500,334,1460,1660,187,16.7,176,272,42,520,819,247,247,0.984,C,1660,C,263,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"18 x 7.5"" UB 45 (GR230)",67,454,190,12.7,8.48,10.2,428,50.5,7.14,8540,294,1300,1470,185,14.5,153,237,41.2,371,706,247,247,0.956,C,1470,C,229,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16 x 7 "" UB 50 (GR230)",74.4,413,180,16,9.65,10.2,381,39.5,5.33,9500,273,1320,1500,170,15.5,172,267,40.3,630,608,247,247,1,C,1500,C,258,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16 x 7 "" UB 45 (GR230)",67,409,179,14.3,8.79,10.2,381,43.3,5.94,8550,243,1190,1350,169,13.7,153,237,40,460,533,247,247,1,C,1350,C,229,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16 x 7 "" UB 40 (GR230)",59.5,406,178,12.8,7.8,10.2,381,48.8,6.65,7600,215,1060,1190,168,12,135,208,39.7,329,465,247,247,0.972,C,1190,C,202,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"16 x 7 "" UB 36 (GR230)",53.6,403,178,10.9,7.59,10.2,381,50.1,7.82,6840,186,925,1050,165,10.2,115,177,38.6,227,390,247,247,0.959,C,1050,C,172,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14 x 6.75"" UB 45 (GR230)",67,364,173,15.7,9.07,10.2,333,36.7,5.23,8540,195,1070,1210,151,13.6,157,243,39.9,555,413,247,247,1,C,1210,C,236,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14 x 6.75"" UB 38 (GR230)",56.6,359,172,13,7.95,10.2,333,41.8,6.3,7220,161,897,1010,149,11.1,129,199,39.2,331,331,247,247,1,C,1010,C,193,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14 x 6.75"" UB 34 (GR230)",50.6,356,171,11.5,7.29,10.2,333,45.6,7.13,6460,142,796,895,148,9.68,113,174,38.7,236,287,247,247,0.997,C,895,C,169,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"14 x 6.75"" UB 30 (GR230)",44.6,352,171,9.73,6.86,10.2,333,48.5,8.44,5700,121,687,774,146,8.13,95,147,37.8,157,238,247,247,0.974,C,774,C,143,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"12 x 6.5"" UB 36 (GR230)",53.6,311,167,13.7,7.75,8.89,283,36.6,5.8,6840,117,753,845,131,10.6,127,195,39.4,345,234,247,247,1,C,845,C,191,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"12 x 6.5"" UB 31 (GR230)",46.1,307,166,11.8,6.73,8.89,283,42.1,6.73,5890,99.5,648,723,130,8.97,108,166,39,223,196,247,247,1,C,723,C,162,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"12 x 6.5"" UB 27 (GR230)",40.2,304,165,10.2,6.1,8.89,283,46.5,7.82,5150,85.2,561,624,129,7.63,92.4,141,38.5,147,164,247,247,0.991,C,624,C,139,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10 x 5.75"" UB 29 (GR230)",43.2,260,147,12.7,7.34,7.62,234,31.9,5.51,5510,65.6,505,568,109,6.78,92,141,35.1,241,103,247,247,1,C,568,C,138,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10 x 5.75"" UB 25 (GR230)",37.2,256,146,10.9,6.4,7.62,234,36.6,6.41,4750,55.6,434,485,108,5.71,78.1,120,34.7,155,85.8,247,247,1,C,485,C,117,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10 x 5.75"" UB 21 (GR230)",31.3,251,146,8.64,6.1,7.62,234,38.4,8.1,4000,44.4,353,396,105,4.49,61.5,94.5,33.5,87.3,66.2,247,247,1,C,396,C,92.3,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"8 x 5.25"" UB 20 (GR230)",29.8,207,134,9.6,6.3,7.62,188,29.8,6.64,3800,28.9,279,313,87.2,3.84,57.4,88.1,31.8,102,37.3,247,247,1,C,313,C,86.1,-,-,-,-,0,417,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
