Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,Doubler,Stiffener,ZeyR,-,?b,Fu,xL,Xo,r2,ZeyD,In,Ip,ZexC,Taper,-,-,nL,pB,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,X,x10³ mm³,Y,x10³ mm³,mm,mm,-,-,-,MPa,-,-,-,-,-,-,-,Angle,-,-,-,-,-,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310UC283 (GR350),283,365,322,44.1,26.9,15.2,277,10.3,3.34,36000,788,4310,5100,148,245,1530,2340,82.5,20300,6330,340,340,1.000,C,5100,C,2290,-,-,-,-,1,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310UC240 (GR350),240,353,318,37.7,23.0,15.2,277,12.1,3.91,30600,642,3640,4250,145,202,1270,1950,81.4,12700,5010,340,340,1.000,C,4250,C,1910,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310UC198 (GR350),198,340,314,31.4,19.2,15.2,277,14.4,4.7,25200,508,2990,3440,142,162,1030,1580,80.2,7340,3860,340,340,1.000,C,3440,C,1550,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310UC158 (GR350),158,327,311,25.0,15.7,16.5,277,17.7,5.91,20100,388,2370,2680,139,125,807,1230,78.9,3810,2860,340,340,1.000,C,2680,C,1210,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310UC137 (GR350),137,321,309,21.7,13.8,16.5,277,20.1,6.8,17500,329,2050,2300,137,107,691,1050,78.2,2520,2390,340,340,1.000,C,2300,C,1040,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310UC118 (GR350),118,315,307,18.7,11.9,16.5,277,23.3,7.89,15000,277,1760,1960,136,90.2,588,893,77.5,1630,1980,340,340,1.000,N,1950,N,878,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310UC96.8 (GR350),96.8,308,305,15.4,9.9,16.5,277,28.0,9.58,12400,223,1450,1600,134,72.9,478,725,76.7,928,1560,340,360,1.000,N,1550,N,684,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250UC89.5 (GR350),89.5,260,256,17.3,10.5,14.0,225,21.5,7.1,11400,143,1100,1230,112,48.4,378,575,65.2,1040,713,340,360,1.000,C,1230,C,567,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250UC72.9 (GR350),72.9,254,254,14.2,8.6,14.0,225,26.2,8.64,9320,114,897,992,111,38.8,306,463,64.5,586,557,340,360,1.000,N,977,N,448,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
