Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,Doubler,Stiffener,-,-,?b,Fu,-,-,-,-,-,-,-,Taper,-,-,-,-,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,X,x10³ mm³,Y,x10³ mm³,mm,mm,-,-,-,MPa,-,-,-,-,-,-,-,Angle,-,-,-,-,-,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
`,455,1200,500,40,16,0,1120,70.0,6.05,57900,15300,25600,28200,515,834,3330,5070,120,22000,280000,280,300,0.837,C,28200,C,5000,200,200,-,-,0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,HW,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1200WB423 (GR300),423,1192,500,36,16,0,1120,70.0,6.72,53900,13900,23300,25800,508,750,3000,4570,118,16500,251000,280,300,0.825,C,25800,C,4500,200,200,-,-,0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,HW,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1200WB392 (GR300),392,1184,500,32,16,0,1120,70.0,7.56,49900,12500,21100,23400,500,667,2670,4070,116,12100,221000,280,300,0.811,C,23400,N,4000,200,200,-,-,0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,HW,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1200WB342 (GR300),342,1184,400,32,16,0,1120,70.0,6.00,43500,10400,17500,19800,488,342,1710,2630,88.6,9960,113000,280,300,0.783,C,19800,C,2560,175,175,-,-,0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,HW,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1200WB317 (GR300),317,1176,400,28,16,0,1120,70.0,6.86,40300,9250,15700,17900,479,299,1500,2310,86.1,7230,98500,280,300,0.766,C,17900,C,2240,175,175,-,-,0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,HW,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1200WB278 (GR300),278,1170,350,25,16,0,1120,70.0,6.68,35400,7610,13000,15000,464,179,1020,1600,71.1,5090,58700,280,300,0.733,C,15000,C,1530,150,150,-,-,0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,HW,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1200WB249 (GR300),249,1170,275,25,16,0,1120,70.0,5.18,31700,6380,10900,12900,449,87,633,1020,52.4,4310,28500,280,300,0.701,C,12900,C,949,120,120,-,-,0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,HW,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1000WB322 (GR300),322,1024,400,32,16,0,960,60.0,6.00,41000,7480,14600,16400,427,342,1710,2620,91.3,9740,84100,280,300,0.832,C,16400,C,2560,175,175,-,-,0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,HW,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1000WB296 (GR300),296,1016,400,28,16,0,960,60.0,6.86,37800,6650,13100,14800,420,299,1490,2300,89,7010,73000,280,300,0.817,C,14800,C,2240,175,175,-,-,0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,HW,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1000WB258 (GR300),258,1010,350,25,16,0,960,60.0,6.68,32900,5430,10700,12300,406,179,1020,1590,73.8,4870,43400,280,300,0.790,C,12300,C,1530,150,150,-,-,0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,HW,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1000WB215 (GR300),215,1000,300,20,16,0,960,60.0,7.10,27400,4060,8120,9570,385,90.3,602,961,57.5,2890,21700,300,300,0.738,C,9570,C,903,125,125,-,-,0.5,430,-,-,-,-,-,-,-,-,-,-,-,-,-,HW,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
