Description,Weight,d,bf,tf,tw,r1,d1,tw,tf,Ag,Ix,Zx,Sx,rx,Iy,ZyR,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",ZeyL,ZyL,"C,N,S",ZeyR,,?b,Fu,xL,Xo,,,,,,Taper,,,,,,Residual,,Type,,,,,,,,,,,,,,,,,,,,
,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,,X,x10³ mm³,YL,x10³ mm³,x10³ mm³,YR,x10³ mm³,,,MPa,mm,mm,,,,,,Angle,,,,,,Stress,,,,,,,,,,,,,,,,,,,,,,
380x100PFC (GR300),55.2,380,100,17.5,10.0,14.0,345,34.5,5.14,7030,152,798,946,147,6.48,89.4,161,30.4,0,0,280,320,1.000,C,946,N,115,236,C,134,,0.5,440,27.5,56.7,,,,,,,,,,,,HR,,2,,,,,,,,,,,,,,,,,,,,
300x90PFC (GR300),40.1,300,90,16.0,8.0,14.0,268,33.5,5.13,5110,72.4,483,564,119,4.04,64.4,117,28.1,0,0,300,320,1.000,C,564,N,82.3,148,C,96.6,,0.5,440,27.2,56.1,,,,,,,,,,,,HR,,2,,,,,,,,,,,,,,,,,,,,
250x90PFC (GR300),35.5,250,90,15.0,8.0,12.0,220,27.5,5.47,4520,45.1,361,421,99.9,3.64,59.3,107,28.4,0,0,300,320,1.000,C,421,N,88.7,127,C,89.0,,0.5,440,28.6,58.5,,,,,,,,,,,,HR,,2,,,,,,,,,,,,,,,,,,,,
230x75PFC (GR300),25.1,230,75,12.0,6.5,12.0,206,31.7,5.71,3200,26.8,233,271,91.4,1.76,33.6,61.0,23.5,0,0.0,300,320,1.000,C,271,N,45.1,77.8,C,50.4,,0.5,440,22.6,46.7,,,,,,,,,,,,HR,,2,,,,,,,,,,,,,,,,,,,,
200x75PFC (GR300),22.9,200,75,12.0,6.0,12.0,176,29.3,5.75,2920,19.1,191,221,80.9,1.65,32.7,58.9,23.8,0,0,300,320,1.000,C,221,N,46.7,67.8,C,49.1,,0.5,440,24.4,50.5,,,,,,,,,,,,HR,,2,,,,,,,,,,,,,,,,,,,,
180x75PFC (GR300),20.9,180,75,11.0,6.0,12.0,158,26.3,6.27,2660,14.1,157,182,72.9,1.51,29.9,53.8,23.8,0,0,300,320,1.000,C,182,C,44.9,61.5,C,44.8,,0.5,440,24.5,50.3,,,,,,,,,,,,HR,,2,,,,,,,,,,,,,,,,,,,,
150x75PFC (GR300),17.7,150,75,9.5,6.0,10.0,131,21.8,7.26,2250,8.34,111,129,60.8,1.29,25.7,46.0,23.9,0,0,320,320,1.000,C,129,C,38.5,51.6,C,38.5,,0.5,440,24.9,51.0,,,,,,,,,,,,HR,,2,,,,,,,,,,,,,,,,,,,,
125x65PFC (GR300),11.9,125,65,7.5,4.7,8.0,110,23.4,8.04,1520,3.97,63.5,73.0,51.1,0.658,15.2,27.2,20.8,0,0,320,320,1.000,N,72.8,C,22.8,30.2,N,22.8,,0.5,440,21.8,45.0,,,,,,,,,,,,HR,,2,,,,,,,,,,,,,,,,,,,,
100x50PFC (GR300),8.33,100,50,6.7,4.2,8.0,86.6,20.6,6.84,1060,1.74,34.7,40.3,40.4,0.267,8.01,14.4,15.9,0,0,320,320,1.000,C,40.3,C,12.0,16.0,C,12.0,,0.5,440,16.7,33.9,,,,,,,,,,,,HR,,2,,,,,,,,,,,,,,,,,,,,
75x40PFC (GR300),5.92,75,40,6.1,3.8,8.0,62.8,16.5,5.94,754,0.683,18.2,21.4,30.1,0.120,4.56,8.20,12.6,0,0,320,320,1.000,C,21.4,C,6.84,8.71,C,6.84,,0.5,440,13.7,27.2,,,,,,,,,,,,HR,,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
