Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,Doubler,Stiffener,,,?b,Fu,,,,,,,,Taper,,,,,,Residual,,Type,,,,,,,,,,,,,,,,,,,,
,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,,X,x10³ mm³,Y,x10³ mm³,mm,mm,,,,MPa,,,,,,,,Angle,,,,,,Stress,,,,,,,,,,,,,,,,,,,,,,
"14 x 14.5"" UC 264 (GR230)",393,423,389,51,31.8,15.2,321,10.1,3.51,50100,1470,6970,8230,171,503,2580,3950,100,37800,17400,232,232,1,C,8230,C,3870,,,,,1,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"14 x 14.5"" UC 232 (GR230)",345,411,386,45.1,28.1,15.2,321,11.4,3.96,44000,1250,6100,7120,169,432,2240,3420,99.1,26200,14500,232,232,1,C,7120,C,3360,,,,,1,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"14 x 14.5"" UC 200 (GR230)",298,399,382,39.2,24.4,15.2,321,13.2,4.57,37900,1040,5240,6040,166,364,1910,2910,98,17100,11800,232,232,1,C,6040,C,2860,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"14 x 14.5"" UC 168 (GR230)",250,387,378,33.1,20.6,15.2,321,15.6,5.39,31900,848,4380,4990,163,299,1580,2410,96.9,10300,9360,232,232,1,C,4990,C,2370,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"14 x 14.5"" UC 136 (GR230)",202,375,374,27,16.8,15.2,321,19.1,6.62,25800,663,3540,3980,160,236,1260,1920,95.7,5600,7140,232,247,1,C,3980,C,1890,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"14 x 14.5"" UC 119 (GR230)",177,368,372,23.8,14.5,15.2,321,22.1,7.51,22600,572,3100,3460,159,205,1100,1670,95.2,3830,6070,232,247,1,C,3460,C,1650,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"14 x 14.5"" UC 103 (GR230)",153,362,370,20.7,12.6,15.2,321,25.5,8.66,19500,485,2680,2960,158,175,944,1430,94.6,2510,5090,232,247,1,C,2960,C,1420,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"14 x 14.5"" UC 87 (GR230)",129,356,368,17.5,10.7,15.2,321,30.1,10.2,16500,402,2260,2480,156,146,791,1200,94,1530,4160,247,247,1,N,2450,N,1160,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"12 x 12"" UC 190 (GR230)",283,365,322,44.1,26.9,15.2,277,10.3,3.34,36000,788,4310,5100,148,245,1530,2340,82.5,20300,6330,232,232,1,C,5100,C,2290,,,,,1,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"12 x 12"" UC 161 (GR230)",240,353,318,37.7,23,15.2,277,12.1,3.91,30600,642,3640,4250,145,202,1270,1950,81.4,12700,5020,232,232,1,C,4250,C,1910,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"12 x 12"" UC 133 (GR230)",198,340,314,31.4,19.2,15.2,277,14.4,4.7,25200,508,2990,3440,142,162,1030,1580,80.2,7340,3860,232,232,1,C,3440,C,1550,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"12 x 12"" UC 106 (GR230)",158,327,311,25,15.7,15.2,277,17.6,5.89,20100,387,2370,2680,139,125,807,1230,78.9,3790,2860,232,247,1,C,2680,C,1210,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"12 x 12"" UC 92 (GR230)",137,321,309,21.7,13.8,15.2,277,20,6.78,17500,328,2050,2300,137,107,692,1050,78.2,2500,2380,232,247,1,C,2300,C,1040,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"12 x 12"" UC 79 (GR230)",118,314,307,18.7,11.9,15.2,277,23.2,7.89,15000,276,1760,1950,136,90.1,587,892,77.6,1600,1970,247,247,1,C,1950,C,881,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"12 x 12"" UC 65 (GR230)",96.7,308,305,15.4,9.91,15.2,277,28,9.58,12300,222,1440,1590,134,72.7,477,723,76.8,911,1550,247,247,1,N,1580,N,708,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"10 x 10"" UC 112 (GR230)",167,289,265,31.7,19.2,12.7,226,11.8,3.87,21200,299,2070,2420,119,98,741,1130,67.9,6250,1620,232,232,1,C,2420,C,1110,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
"10 x 10"" UC 89 (GR230)",132,276,261,25.3,15.6,12.7,226,14.4,4.84,16900,226,1630,1870,116,75.2,576,879,66.7,3220,1180,232,247,1,C,1870,C,864,,,,,0,417,,,,,,,,,,,,,,HR,,1,,,,,,,,,,,,,,,,,,,,
