Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,Doubler,Stiffener,ZeyR,,?b,Fu,,,,,,,,,,,,,,Residual,,Type,,,,,,,,,,,,,,,,,,,,
,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,,,x10³ mm³,,x10³ mm³,mm,mm,,,,MPa,,,,,,,,,,,,,,Stress,,,,,,,,,,,,,,,,,,,,,,
400 x 16.0 SHS (C350),186,400,400,16.0,16.0,,368,,,23700,571,2850,3370,155,571,2850,3370,155,930000,0,350,350,1.000,C,3370,C,3370,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
400 x 12.5 SHS (C350),148,400,400,12.5,12.5,,375,,,18800,464,2320,2710,157,464,2320,2710,157,744000,0,350,350,1.000,N,2500,N,2500,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
400 x 10.0 SHS (C350),120,400,400,10.0,10.0,,380,,,15300,382,1910,2210,158,382,1910,2210,158,604000,0,350,350,0.890,S,1780,S,1780,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
350 x 16.0 SHS (C350),161,350,350,16.0,16.0,,318,,,20500,372,2130,2530,135,372,2130,2530,135,614000,0,350,350,1.000,C,2530,C,2530,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
350 x 12.5 SHS (C350),128,350,350,12.5,12.5,,325,,,16300,305,1740,2040,137,305,1740,2040,137,493000,0,350,350,1.000,N,2020,N,2020,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
350 x 10.0 SHS (C350),104,350,350,10.0,10.0,,330,,,13300,252,1440,1670,138,252,1440,1670,138,401000,0,350,350,1.000,N,1460,N,1460,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
350 x 8.0 SHS (C350),84.2,350,350,8.0,8.0,,334,,,10700,207,1180,1370,139,207,1180,1370,139,326000,0,350,350,0.810,S,1040,S,1040,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
300 x 16.0 SHS (C350),136,300,300,16.0,16.0,,268,,,17300,226,1510,1810,114,226,1510,1810,114,378000,0,350,350,1.000,C,1810,C,1810,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
300 x 12.5 SHS (C350),109,300,300,12.5,12.5,,275,,,13800,187,1240,1470,116,187,1240,1470,116,305000,0,350,350,1.000,C,1470,C,1470,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
300 x 10.0 SHS (C350),88.4,300,300,10.0,10.0,,280,,,11300,155,1030,1210,117,155,1030,1210,117,250000,0,350,350,1.000,N,1160,N,1160,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
300 x 8.0 SHS (C350),71.6,300,300,8.0,8.0,,284,,,9120,128,853,991,118,128,853,991,118,203000,0,350,350,0.952,S,830,S,830,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
250 x 16.0 SHS (C350),111,250,250,16.0,16.0,,218,,,14100,124,992,1210,93.8,124,992,1210,93.8,212000,0,350,350,1.000,C,1210,C,1210,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
250 x 12.5 SHS (C350),89.0,250,250,12.5,12.5,,225,,,11300,104,830,992,95.7,104,830,992,95.7,173000,0,350,350,1.000,C,992,C,992,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
250 x 10.0 SHS (C350),72.7,250,250,10.0,10.0,,230,,,9260,87.1,697,822,97.0,87.1,697,822,97.0,142000,0,350,350,1.000,C,822,C,822,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
250 x 9.0 SHS (C350),65.9,250,250,9.0,9.0,,232,,,8400,79.8,639,750,97.5,79.8,639,750,97.5,129000,0,350,350,1.000,N,744,N,744,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
250 x 8.0 SHS (C350),59.1,250,250,8.0,8.0,,234,,,7520,72.3,578,676,98.0,72.3,578,676,98.0,116000,0,350,350,1.000,N,631,N,631,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
250 x 6.0 SHS (C350),45.0,250,250,6.0,6.0,,238,,,5730,56.2,450,521,99.0,56.2,450,521,99.0,88700,0,350,350,0.853,S,409,S,409,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
200 x 16.0 SHS (C350),85.5,200,200,16.0,16.0,,168,,,10900,58.6,586,728,73.3,58.6,586,728,73.3,103000,0,350,350,1.000,C,728,C,728,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
200 x 12.5 SHS (C350),69.4,200,200,12.5,12.5,,175,,,8840,50.0,500,607,75.2,50.0,500,607,75.2,85200,0,350,350,1.000,C,607,C,607,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
200 x 10.0 SHS (C350),57.0,200,200,10.0,10.0,,180,,,7260,42.5,425,508,76.5,42.5,425,508,76.5,70700,0,350,350,1.000,C,508,C,508,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
200 x 9.0 SHS (C350),51.8,200,200,9.0,9.0,,182,,,6600,39.2,392,465,77.1,39.2,392,465,77.1,64500,0,350,350,1.000,C,465,C,465,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
200 x 8.0 SHS (C350),46.5,200,200,8.0,8.0,,184,,,5920,35.7,357,421,77.6,35.7,357,421,77.6,58200,0,350,350,1.000,C,421,C,421,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
200 x 6.0 SHS (C350),35.6,200,200,6.0,6.0,,188,,,4530,28.0,280,327,78.6,28.0,280,327,78.6,44800,0,350,350,1.000,N,294,N,294,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
200 x 5.0 SHS (C350),29.9,200,200,5.0,5.0,,190,,,3810,23.9,239,277,79.1,23.9,239,277,79.1,37800,0,350,350,0.890,S,223,S,223,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
150 x 10.0 SHS (C350),41.3,150,150,10.0,10.0,,130,,,5260,16.5,220,269,56.1,16.5,220,269,56.1,28400,0,350,350,1.000,C,269,C,269,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
150 x 9.0 SHS (C350),37.7,150,150,9.0,9.0,,132,,,4800,15.4,205,248,56.6,15.4,205,248,56.6,26100,0,350,350,1.000,C,248,C,248,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
150 x 8.0 SHS (C350),33.9,150,150,8.0,8.0,,134,,,4320,14.1,188,226,57.1,14.1,188,226,57.1,23600,0,350,350,1.000,C,226,C,226,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
150 x 6.0 SHS (C350),26.2,150,150,6.0,6.0,,138,,,3330,11.3,150,178,58.2,11.3,150,178,58.2,18400,0,350,350,1.000,C,178,C,178,,,,,-0.5,430,,,,,,,,,,,,,,CF,,5,,,,,,,,,,,,,,,,,,,,
