Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,Doubler,Stiffener,,,?b,Fu,,,,,,,,Taper,,,,,,Residual,,Type,,,,,,,,,,,,,,,,,,,,
,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,,X,x10³ mm³,Y,x10³ mm³,mm,mm,,,,MPa,,,,,,,,Angle,,,,,,Stress,,,,,,,,,,,,,,,,,,,,,,
1200WB455 (GR400),455,1200,500,40,16,0,1120,70.0,6.05,57900,15300,25600,28200,515,834,3330,5070,120,22000,280000,360,380,0.820,N,28100,C,5000,200,200,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
1200WB423 (GR400),423,1192,500,36,16,0,1120,70.0,6.72,53900,13900,23300,25800,508,750,3000,4570,118,16500,251000,360,380,0.806,N,25700,N,4500,200,200,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
1200WB392 (GR400),392,1184,500,32,16,0,1120,70.0,7.56,49900,12500,21100,23400,500,667,2670,4070,116,12100,221000,360,380,0.791,N,23300,N,3900,200,200,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
1200WB342 (GR400),342,1184,400,32,16,0,1120,70.0,6.00,43500,10400,17500,19800,488,342,1710,2630,88.6,9960,113000,360,380,0.760,N,19600,C,2560,175,175,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
1200WB317 (GR400),317,1176,400,28,16,0,1120,70.0,6.86,40300,9250,15700,17900,479,299,1500,2310,86.1,7230,98500,360,380,0.741,N,17700,N,2230,175,175,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
1200WB278 (GR400),278,1170,350,25,16,0,1120,70.0,6.68,35400,7610,13000,15000,464,179,1020,1600,71.1,5090,58700,360,380,0.705,N,14900,N,1530,150,150,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
1200WB249 (GR400),249,1170,275,25,16,0,1120,70.0,5.18,31700,6380,10900,12900,449,87,633,1020,52.4,4310,28500,360,380,0.670,N,12800,C,949,120,120,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
1000WB322 (GR400),322,1024,400,32,16,0,960,60.0,6.00,41000,7480,14600,16400,427,342,1710,2620,91.3,9740,84100,360,380,0.807,C,16400,C,2560,175,175,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
1000WB296 (GR400),296,1016,400,28,16,0,960,60.0,6.86,37800,6650,13100,14800,420,299,1490,2300,89,7010,73000,360,380,0.791,C,14800,N,2230,175,175,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
1000WB258 (GR400),258,1010,350,25,16,0,960,60.0,6.68,32900,5430,10700,12300,406,179,1020,1590,73.8,4870,43400,360,380,0.760,C,12300,N,1530,150,150,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
1000WB215 (GR400),215,1000,300,20,16,0,960,60.0,7.10,27400,4060,8120,9570,385,90.3,602,961,57.5,2890,21700,380,380,0.704,C,9570,N,887,125,125,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
900WB282 (GR400),282,924,400,32,12,0,860,71.7,6.06,35900,5730,12400,13600,399,341,1710,2590,97.5,8870,67900,360,400,0.830,N,13500,C,2560,175,175,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
900WB257 (GR400),257,916,400,28,12,0,860,71.7,6.93,32700,5050,11000,12200,393,299,1490,2270,95.6,6150,58900,360,400,0.813,N,12000,N,2220,175,175,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
900WB218 (GR400),218,910,350,25,12,0,860,71.7,6.76,27800,4060,8930,9960,382,179,1020,1560,80.2,4020,35000,360,400,0.780,N,9840,N,1530,150,150,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
