Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,Doubler,Stiffener,,,?b,Fu,,,,,,,,Taper,,,,,,Residual,,Type,,,,,,,,,,,,,,,,,,,,
,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,,X,x10³ mm³,Y,x10³ mm³,mm,mm,,,,MPa,,,,,,,,Angle,,,,,,Stress,,,,,,,,,,,,,,,,,,,,,,
500WC440 (GR400),440,480,500,40,40,0,400,10.0,5.75,56000,2150,8980,10400,196,835,3340,5160,122,30100,40400,360,360,1.000,C,10400,C,5010,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
500WC414 (GR400),414,480,500,40,32,0,400,12.5,5.85,52800,2110,8800,10100,200,834,3340,5100,126,25400,40400,360,360,1.000,C,10100,C,5010,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
500WC383 (GR400),383,472,500,36,32,0,400,12.5,6.5,48800,1890,7990,9130,197,751,3000,4600,124,19900,35700,360,360,1.000,C,9130,C,4510,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
500WC340 (GR400),340,514,500,32,25,0,450,18.0,7.42,43300,2050,7980,8980,218,667,2670,4070,124,13100,38800,360,360,1.000,N,8830,N,3920,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
500WC290 (GR400),290,506,500,28,20,0,450,22.5,8.57,37000,1750,6930,7700,218,584,2330,3550,126,8420,33300,360,380,1.000,N,7410,N,3310,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
500WC267 (GR400),267,500,500,25,20,0,450,22.5,9.60,34000,1560,6250,6950,214,521,2080,3170,124,6370,29400,360,380,1.000,N,6540,N,2860,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
500WC228 (GR400),228,490,500,20,20,0,450,22.5,12.0,29000,1260,5130,5710,208,417,1670,2550,120,3880,23000,380,380,0.964,S,4860,N,2100,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
400WC361 (GR400),361,430,400,40,40,0,350,8.75,4.50,46000,1360,6340,7470,172,429,2140,3340,96.5,24800,16300,360,360,1.000,C,7470,C,3210,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
400WC328 (GR400),328,430,400,40,28,0,350,12.5,4.65,41800,1320,6140,7100,178,427,2140,3270,101,19200,16200,360,360,1.000,C,7100,C,3200,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
400WC303 (GR400),303,422,400,36,28,0,350,12.5,5.17,38600,1180,5570,6420,175,385,1920,2950,99.8,14800,14300,360,360,1.000,C,6420,C,2880,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
400WC270 (GR400),270,414,400,32,25,0,350,14.0,5.86,34400,1030,4950,5660,173,342,1710,2610,99.8,10400,12500,360,360,1.000,C,5660,C,2560,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
400WC212 (GR400),212,400,400,25,20,0,350,17.5,7.60,27000,776,3880,4360,169,267,1330,2040,99.4,5060,9380,360,380,1.000,N,4270,N,1950,,,,,0.5,480,,,,,,,,,,,,,,HW,,1,,,,,,,,,,,,,,,,,,,,
